explorerTitle	2020 Review

defaultView	selection=~World
isPublished	false
entityType	Continent
hasMapTab	true

columns
	slug	name	type
	date	Day	Date
	new_users	New Users	Integer
	users	Users	Integer
	location	Location	Continent

graphers
	User Type Radio	type	ySlugs	title	subtitle
	New users	LineChart	new_users	New users	How many new users?
	Users	LineChart	users	Users	How many total users?
table
	location	date	new_users	users
	World	2020-05-25	322501	512522
	World	2020-05-26	342743	532979
	World	2020-05-27	348149	522513
	World	2020-05-28	385315	544487
	World	2020-05-29	264779	406793
	World	2020-05-30	183002	281364
	World	2020-05-31	182604	284023
	World	2020-06-01	282440	468995
	World	2020-06-02	275862	450399
	World	2020-06-03	449037	601709
	World	2020-06-04	264594	426250
	World	2020-06-05	238167	379925
	World	2020-06-06	333682	462846
	World	2020-06-07	540271	668507
	World	2020-06-08	337857	488716
	World	2020-06-09	255991	401212
	World	2020-06-10	297426	457743
	World	2020-06-11	193016	335903
	World	2020-06-12	177331	305407
	World	2020-06-13	173980	278347
	World	2020-06-14	183218	292484
	World	2020-06-15	188372	314948
	World	2020-06-16	195901	330320
	World	2020-06-17	189855	306315
	World	2020-06-18	204542	336882
	World	2020-06-19	165897	274216
	World	2020-06-20	126516	200405
	World	2020-06-21	174973	261903
	World	2020-06-22	200026	316068
	World	2020-06-23	253214	373623
	World	2020-06-24	232789	347551
	World	2020-06-25	246758	377085
	World	2020-06-26	251792	370540
	World	2020-06-27	197427	278689
	World	2020-06-28	210783	304635
	World	2020-06-29	224957	331287
	World	2020-06-30	275028	391767
	World	2020-07-01	420282	549352
	World	2020-07-02	227394	340304
	World	2020-07-03	194168	287240
	World	2020-07-04	186857	276851
	World	2020-07-05	166268	247535
	World	2020-07-06	309932	442618
	World	2020-07-07	279524	401782
	World	2020-07-08	240591	370806
	World	2020-07-09	247298	384784
	World	2020-07-10	223819	322062
	World	2020-07-11	223803	309310
	World	2020-07-12	231191	334187
	World	2020-07-13	247743	353131
	World	2020-07-14	276616	380028
	World	2020-07-15	200989	295576
	World	2020-07-16	231454	340439
	World	2020-07-17	232326	336516
	World	2020-07-18	178611	258368
	World	2020-07-19	249643	339491
	World	2020-07-20	240720	338346
	World	2020-07-21	255716	354486
	World	2020-07-22	213307	310933
	World	2020-07-23	186287	267696
	World	2020-07-24	173239	257956
	World	2020-07-25	166331	232760
	World	2020-07-26	163952	227814
	World	2020-07-27	228121	322912
	World	2020-07-28	294319	418601
	World	2020-07-29	193048	275593
	World	2020-07-30	176106	250787
	World	2020-07-31	163715	235105
	World	2020-08-01	134404	186098
	World	2020-08-02	158135	221570
	World	2020-08-03	190002	275200
	World	2020-08-04	236743	320975
	World	2020-08-05	202007	286662
	World	2020-08-06	205805	281447
	World	2020-08-07	160482	224749
	World	2020-08-08	125021	173803
	World	2020-08-09	144463	198198
	World	2020-08-10	197662	288818
	World	2020-08-11	190488	270353
	World	2020-08-12	154140	217561
	World	2020-08-13	163093	233199
	World	2020-08-14	181972	251728
	World	2020-08-15	122505	167987
	World	2020-08-16	161892	214544
	World	2020-08-17	162306	230446
	World	2020-08-18	160325	224435
	World	2020-08-19	148327	215650
	World	2020-08-20	136579	198794
	World	2020-08-21	147959	207166
	World	2020-08-22	120908	166740
	World	2020-08-23	117239	167462
	World	2020-08-24	142374	206055
	World	2020-08-25	156020	219714
	World	2020-08-26	158887	228995
	World	2020-08-27	132983	195737
	World	2020-08-28	138265	195501
	World	2020-08-29	133840	181340
	World	2020-08-30	117596	161801
	World	2020-08-31	147226	208814
	World	1 Sept 2020	160451	228788
	World	2 Sept 2020	171562	245405
	World	3 Sept 2020	152430	220127
	World	4 Sept 2020	132923	192192
	World	5 Sept 2020	115542	158558
	World	6 Sept 2020	149911	198831
	World	7 Sept 2020	154894	218029
	World	8 Sept 2020	176990	250399
	World	9 Sept 2020	163763	224248
	World	10 Sept 2020	160410	220194
	World	11 Sept 2020	176440	238489
	World	12 Sept 2020	144089	200610
	World	13 Sept 2020	142770	195710
	World	14 Sept 2020	186059	258054
	World	15 Sept 2020	232833	306966
	World	16 Sept 2020	230914	312032
	World	17 Sept 2020	204207	279419
	World	18 Sept 2020	184321	251482
	World	19 Sept 2020	172223	224727
	World	20 Sept 2020	125477	174575
	World	21 Sept 2020	167741	237159
	World	22 Sept 2020	181083	251726
	World	23 Sept 2020	166816	232332
	World	24 Sept 2020	165779	229360
	World	25 Sept 2020	150890	217959
	World	26 Sept 2020	126579	175256
	World	27 Sept 2020	119122	166214
	World	28 Sept 2020	149439	214054
	World	29 Sept 2020	173078	237719
	World	30 Sept 2020	144529	201727
	World	2020-10-01	163865	220330
	World	2020-10-02	210000	264571
	World	2020-10-03	117535	157445
	World	2020-10-04	119655	165739
	World	2020-10-05	160169	218315
	World	2020-10-06	180333	247092
	World	2020-10-07	153075	212480
	World	2020-10-08	166674	236383
	World	2020-10-09	138189	194143
	World	2020-10-10	121710	169865
	World	2020-10-11	131702	186146
	World	2020-10-12	155818	211838
	World	2020-10-13	167570	238888
	World	2020-10-14	179531	250514
	World	2020-10-15	247763	323256
	World	2020-10-16	166632	232237
	World	2020-10-17	137127	188685
	World	2020-10-18	139738	190970
	World	2020-10-19	182582	254311
	World	2020-10-20	175872	243867
	World	2020-10-21	208987	289753
	World	2020-10-22	163256	236339
	World	2020-10-23	165306	231112
	World	2020-10-24	134674	183920
	World	2020-10-25	153965	217184
	World	2020-10-26	163149	231337
	World	2020-10-27	180445	254863
	World	2020-10-28	211558	300246
	World	2020-10-29	194399	270288
	World	2020-10-30	183975	261394
	World	2020-10-31	147781	206008
	World	2020-11-01	158957	217966
	World	2020-11-02	190358	263140
	World	2020-11-03	193157	262364
	World	2020-11-04	128872	188384
	World	2020-11-05	135508	195970
	World	2020-11-06	131648	194407
	World	2020-11-07	110283	160451
	World	2020-11-08	110276	156936
	World	2020-11-09	153143	224036
	World	2020-11-10	134115	196421
	World	2020-11-11	141600	203499
	World	2020-11-12	162298	234213
	World	2020-11-13	203960	277023
	World	2020-11-14	177134	236878
	World	2020-11-15	159858	220175
	World	2020-11-16	196030	272402
