explorerTitle	2020 Review

defaultView	selection=~World
isPublished	false
entityType	Continent
hasMapTab	true

columns
	slug	name	type
	date	Day	Date
	new_users	New Users	Integer
	users	Users	Integer
	location	Location	Continent

graphers
	User Type Radio	type	ySlugs	title	subtitle
	New users	LineChart	new_users	New users	How many new users?
	Users	LineChart	users	Users	How many total users?
table
	location	date	new_users	users
	World	2020-01-01	25049	28745
	Canada	2020-01-02	34853	39792
	World	2020-01-03	34496	39567
	World	2020-01-04	56270	60649
	World	2020-01-05	64936	70022
	World	2020-01-06	46879	53270
	World	2020-01-07	43479	50198
	World	2020-01-08	43398	50278
	World	2020-01-09	39412	47069
	World	2020-01-10	33949	40460
	World	2020-01-11	25986	30695
	World	2020-01-12	29532	34873
	World	2020-01-13	40657	48269
	World	2020-01-14	41539	49101
	World	2020-01-15	42551	50622
	World	2020-01-16	43715	51344
	World	2020-01-17	37121	44093
	World	2020-01-18	24163	28258
	World	2020-01-19	28490	33473
	World	2020-01-20	37899	44772
	World	2020-01-21	42892	50212
	World	2020-01-22	46752	54551
	World	2020-01-23	53581	61522
	World	2020-01-24	59999	68189
	World	2020-01-25	90916	95877
	World	2020-01-26	135255	142737
	World	2020-01-27	171766	184876
	World	2020-01-28	186853	200422
	World	2020-01-29	171034	185928
	World	2020-01-30	138161	154128
	World	2020-01-31	111211	122709
	World	2020-02-01	70584	79772
	World	2020-02-02	69516	79277
	World	2020-02-03	70670	84293
	World	2020-02-04	111611	124567
	World	2020-02-05	75328	87891
	World	2020-02-06	58966	69270
	World	2020-02-07	52062	61906
	World	2020-02-08	98545	106108
	World	2020-02-09	63878	72775
	World	2020-02-10	85777	99123
	World	2020-02-11	54793	67458
	World	2020-02-12	51297	62486
	World	2020-02-13	49089	58818
	World	2020-02-14	46362	55710
	World	2020-02-15	41835	50047
	World	2020-02-16	48575	58034
	World	2020-02-17	49333	61105
	World	2020-02-18	52300	63344
	World	2020-02-19	51458	61007
	World	2020-02-20	48018	58470
	World	2020-02-21	41537	51206
	World	2020-02-22	31814	37991
	World	2020-02-23	38537	46746
	World	2020-02-24	55858	66791
	World	2020-02-25	59152	70219
	World	2020-02-26	66470	77973
	World	2020-02-27	55466	66543
	World	2020-02-28	48521	58347
	World	2020-02-29	33864	40520
	World	2020-03-01	40595	48586
	World	2020-03-02	57992	69481
	World	2020-03-03	58088	69419
	World	2020-03-04	60849	72943
	World	2020-03-05	66475	78678
	World	2020-03-06	91414	103781
	World	2020-03-07	94488	103910
	World	2020-03-08	104588	117918
	World	2020-03-09	179966	202794
	World	2020-03-10	224688	247115
	World	2020-03-11	359837	392407
	World	2020-03-12	483110	525947
	World	2020-03-13	534072	585587
	World	2020-03-14	611627	665580
	World	2020-03-15	1293949	1394140
	World	2020-03-16	1801708	1979895
	World	2020-03-17	1578777	1780635
	World	2020-03-18	1088181	1279146
	World	2020-03-19	1008317	1194706
	World	2020-03-20	871446	1100190
	World	2020-03-21	714089	921155
	World	2020-03-22	668278	915551
	World	2020-03-23	566600	776932
	World	2020-03-24	560607	793901
	World	2020-03-25	649290	903313
	World	2020-03-26	631838	903088
	World	2020-03-27	677943	911267
	World	2020-03-28	634533	822342
	World	2020-03-29	664824	872419
	World	2020-03-30	650147	884045
	World	2020-03-31	670608	906977
	World	2020-04-01	625498	879567
	World	2020-04-02	689690	947068
	World	2020-04-03	732086	975357
	World	2020-04-04	636884	852919
	World	2020-04-05	584471	805093
	World	2020-04-06	566703	809178
	World	2020-04-07	483991	736063
	World	2020-04-08	449710	676428
	World	2020-04-09	432097	658142
	World	2020-04-10	459633	671315
	World	2020-04-11	511909	701671
	World	2020-04-12	605698	807928
	World	2020-04-13	545992	786513
	World	2020-04-14	474609	705080
	World	2020-04-15	469134	691613
	World	2020-04-16	476440	683739
	World	2020-04-17	423078	645206
	World	2020-04-18	412235	610905
	World	2020-04-19	510978	732418
	World	2020-04-20	614244	881240
	World	2020-04-21	428604	676357
	World	2020-04-22	592751	809653
	World	2020-04-23	511353	747546
	World	2020-04-24	451893	655244
	World	2020-04-25	331586	499670
	World	2020-04-26	559450	820023
	World	2020-04-27	391331	607794
	World	2020-04-28	388510	604301
	World	2020-04-29	392535	614940
	World	2020-04-30	359300	561195
	World	2020-05-01	285282	456975
	World	2020-05-02	289328	453983
	World	2020-05-03	389674	577558
	World	2020-05-04	352059	558359
	World	2020-05-05	510227	717301
	World	2020-05-06	371680	582296
	World	2020-05-07	314944	508332
	World	2020-05-08	374126	560068
	World	2020-05-09	310613	466180
	World	2020-05-10	281111	443943
	World	2020-05-11	352726	547060
	World	2020-05-12	409314	606024
	World	2020-05-13	448188	645473
	World	2020-05-14	432205	648859
	World	2020-05-15	345172	541603
	World	2020-05-16	354838	539770
	World	2020-05-17	404085	593904
	World	2020-05-18	339828	544782
	World	2020-05-19	504333	703715
	World	2020-05-20	382734	594412
	World	2020-05-21	417491	608016
	World	2020-05-22	396154	578425
	World	2020-05-23	263122	409313
	World	2020-05-24	261230	404857
