slug	dropdown	singular	plural	_tags
almonds	Almonds	Almond	Almonds	production,land_use,crop_yield
animal_fats	Animal Fats	Animal Fat	Animal Fats	food_balances,animal_feed
apples	Apples	Apple	Apples	production,land_use,crop_yield,food_balances,animal_feed
apricots	Apricots	Apricot	Apricots	production,land_use,crop_yield
areca_nuts	Areca Nuts	Areca Nut	Areca Nuts	production,land_use,crop_yield
artichokes	Artichokes	Artichoke	Artichokes	production,land_use,crop_yield
asparagus	Asparagus	Asparagus	Asparagus	production,land_use,crop_yield
avocados	Avocados	Avocado	Avocados	production,land_use,crop_yield
bananas	Bananas	Banana	Bananas	production,land_use,crop_yield,food_balances,animal_feed
barley	Barley	Barley	Barley	production,land_use,crop_yield,food_balances,animal_feed
beans_dry	Beans, dry	Dry bean	Dry beans	production,land_use,crop_yield,food_balances,animal_feed
beans_green	Beans, green	Green bean	Green beans	production,land_use,crop_yield
beef_and_buffalo_meat	Beef and Buffalo Meat	Beef and Buffalo Meat	Beef and Buffalo Meat	production,animal_yield
beeswax	Beeswax	Beeswax	Beeswax	production
blueberries	Blueberries	Blueberry	Blueberries	production,land_use,crop_yield
brazil_nuts_with_shell	Brazil nuts, with shell	Brazil nut	Brazil nuts	production,land_use,crop_yield
broad_beans	Broad beans	Broad bean	Broad beans	production,land_use,crop_yield
buckwheat	Buckwheat	Buckwheat	Buckwheat	production,land_use,crop_yield
buffalo_hides	Buffalo hides	Buffalo hide	Buffalo hides	production,animal_yield
butter_and_ghee	Butter and Ghee	Butter and ghee	Butter and ghee	production
cabbages	Cabbages	Cabbage	Cabbages	production,land_use,crop_yield
canary_seed	Canary seed	Canary seed	Canary seeds	production,land_use,crop_yield
carrots_and_turnips	Carrots and turnips	Carrot and turnip	Carrots and turnips	production,land_use,crop_yield
cashew_nuts	Cashew nuts	Cashew nut	Cashew nuts	production,land_use,crop_yield
cassava	Cassava	Cassava	Cassava	production,land_use,crop_yield,food_balances,animal_feed
castor_oil_seed	Castor oil seed	Castor oil seed	Castor oil seeds	production,land_use,crop_yield
cattle_hides	Cattle hides	Cattle hide	Cattle hides	production,animal_yield
cauliflowers_and_broccoli	Cauliflowers and broccoli	Cauliflower and broccoli	Cauliflowers and broccoli	production,land_use,crop_yield
cereals	Cereals	Cereal	Cereals	production,land_use,crop_yield
cheese	Cheese	Cheese	Cheese	production
cherries	Cherries	Cherry	Cherries	production,land_use,crop_yield
chestnut	Chestnuts	Chestnut	Chestnuts	production,land_use,crop_yield
chickpeas	Chickpeas	Chickpea	Chickpeas	production,land_use,crop_yield
chillies_and_peppers_dry	Chillies and peppers, dry	Dry Chili and pepper	Dry chillies and peppers	production,land_use,crop_yield,food_balances
chillies_and_peppers_green	Chillies and peppers, green	Green Chili and pepper	Green chillies and peppers	production,land_use,crop_yield
citrus_fruit	Citrus fruit	Citrus fruit	Citrus fruit	production,land_use,crop_yield
cocoa_beans	Cocoa beans	Cocoa bean	Cocoa beans	food_balances,animal_feed
coconut_oil	Coconut oil	Coconut oil	Coconut oil	production,food_balances,animal_feed
coconuts	Coconuts	Coconut	Coconuts	food_balances,animal_feed
coffee_green	Coffee, green	Green coffee	Green coffee	production,land_use,crop_yield
cotton	Cotton	Cotton	Cotton	production
cottonseed	Cottonseed	Cottonseed	Cottonseeds	production,food_balances,animal_feed
cottonseed_oil	Cottonseed oil	Cottonseed oil	Cottonseed oil	production,food_balances,animal_feed
cow_peas	Cow peas	Cow pea	Cow peas	production,land_use,crop_yield
cranberries	Cranberries	Cranberry	Cranberries	production,land_use,crop_yield
cucumbers_and_gherkins	Cucumbers and gherkins	Cucumber and gherkin	Cucumbers and gherkins	production,land_use,crop_yield
currants	Currants	Currant	Currants	production,land_use,crop_yield
dates	Dates	Date	Dates	production,land_use,crop_yield,food_balances,animal_feed
eggplants	Eggplants	Eggplant	Eggplants	production,land_use,crop_yield
eggs	Eggs	Egg	Eggs	production,animal_yield,food_balances,animal_feed
eggs_from_hens	Eggs from hens	Hen egg	Hen eggs	production,animal_yield
eggs_from_other_birds_excl_hens	Eggs from other birds (excl. hens)	Egg (from other birds, excl. hens)	Eggs (from other birds, excl. hens)	production,animal_yield
fat_buffaloes	Fat, buffaloes	Buffalo fat	Buffalo fat	production
fat_camels	Fat, camels	Camel fat	Camel fat	production
fat_cattle	Fat, cattle	Cattle fat	Cattle fat	production
fat_goats	Fat, goats	Goat fat	Goat fat	production
fat_pigs	Fat, pigs	Pig fat	Pig fat	production
fat_sheep	Fat, sheep	Sheep fat	Sheep fat	production
fibre_crops	Fibre crops	Fibre crop	Fibre crops	production,land_use,crop_yield
flax_fibre	Flax fibre	Flax fibre	Flax fibre	production,land_use,crop_yield
fruit	Fruit	Fruit	Fruit	production,land_use,crop_yield,food_balances,animal_feed
garlic	Garlic	Garlic	Garlic	production,land_use,crop_yield
grapefruit	Grapefruit	Grapefruit	Grapefruits	production,land_use,crop_yield,food_balances,animal_feed
grapes	Grapes	Grapes	Grapes	production,land_use,crop_yield
green_maize	Green maize	Green maize	Green maize	production,land_use,crop_yield
groundnuts	Groundnuts	Groundnut	Groundnuts	production,land_use,crop_yield,food_balances,animal_feed
