slug	dropdown	singular	plural	_tags
groundnut_oil	Groundnut Oil	Groundnut Oil	Groundnut Oil	production,food_balances,animal_feed
hazelnuts	Hazelnuts	Hazelnut	Hazelnuts	production,land_use,crop_yield
hempseed	Hempseed	Hempseed	Hempseeds	production,land_use,crop_yield
herbs_eg_fennel	Herbs (e.g. fennel)	Herb (e.g. fennel)	Herbs (e.g. fennel)	production,land_use,crop_yield
honey	Honey	Honey	Honey	production,food_balances,animal_feed
jute	Jute	Jute	Jute	production,land_use,crop_yield
karite_nuts	Karite nuts	Karite nut	Karite nuts	production,land_use,crop_yield
kiwi	Kiwi	Kiwi	Kiwi	production,land_use,crop_yield
kola_nuts	Kola nuts	Kola nut	Kola nuts	production,land_use,crop_yield
leeks	Leeks	Leek	Leeks	production,land_use,crop_yield
lemons_and_limes	Lemons and limes	Lemon and lime	Lemons and limes	production,land_use,crop_yield,food_balances,animal_feed
lentils	Lentils	Lentil	Lentils	production,land_use,crop_yield
lettuce	Lettuce	Lettuce	Lettuce	production,land_use,crop_yield
linseed	Linseed	Linseed	Linseeds	production,land_use,crop_yield
linseed_oil	Linseed oil	Linseed oil	Linseed oil	production
maize	Maize	Maize	Maize	production,land_use,crop_yield,food_balances,animal_feed
maize_oil	Maize Oil	Maize Oil	Maize Oil	production,food_balances
mangoes	Mangoes	Mango	Mangoes	production,land_use,crop_yield
margarine	Margarine	Margarine	Margarine	production
meat_total	Meat, Total	Total meat	All meat	production,food_balances,animal_feed
meat_ass	Meat, ass	Ass meat	Ass meat	production,animal_yield
meat_buffalo	Meat, buffalo	Buffalo meat	Buffalo meat	production,animal_yield
meat_camel	Meat, camel	Camel meat	Camel meat	production,animal_yield
meat_cattle	Meat, cattle	Cattle meat	Cattle meat	production,animal_yield
meat_chicken	Meat, chicken	Chicken meat	Chicken meat	production,animal_yield
meat_duck	Meat, duck	Duck meat	Duck meat	production,animal_yield
meat_game	Meat, game	Game meat	Game meat	production,animal_yield
meat_goat	Meat, goat	Goat meat	Goat meat	production,animal_yield
meat_goose_and_guinea_fowl	Meat, goose and guinea fowl	Goose and guinea fowl meat	Goose and guinea fowl meat	production,animal_yield
meat_horse	Meat, horse	Horse meat	Horse meat	production,animal_yield
meat_mule	Meat, mule	Mule meat	Mule meat	production,animal_yield
meat_other_birds	Meat, other birds	Other bird meat	Other bird meat	production,animal_yield
meat_other_camelids	Meat, other camelids	Other camelid meat	Other camelid meat	production,animal_yield
meat_other_rodents	Meat, other rodents	Other rodent meat	Other rodent meat	production,animal_yield
meat_pig	Meat, pig	Pig meat	Pig meat	production,animal_yield
meat_poultry	Meat, poultry	Poultry meat	Poultry meat	production,animal_yield,food_balances,animal_feed
meat_rabbit	Meat, rabbit	Rabbit meat	Rabbit meat	production,animal_yield
meat_sheep	Meat, sheep	Sheep meat	Sheep meat	production,animal_yield
meat_turkey	Meat, turkey	Turkey meat	Turkey meat	production,animal_yield
melon	Melon	Melon	Melon	production,land_use,crop_yield
melonseed	Melonseed	Melonseed	Melonseeds	production,land_use,crop_yield
milk	Milk	Milk	Milk	production,animal_yield,food_balances,animal_feed
millet	Millet	Millet	Millet	production,land_use,crop_yield,food_balances,animal_feed
mixed_grains	Mixed grains	Mixed grain	Mixed grains	production,land_use,crop_yield
molasses	Molasses	Molasses	Molasses	production
mushrooms	Mushrooms	Mushroom	Mushrooms	production,land_use,crop_yield
mustard_seed	Mustard seed	Mustard seed	Mustard seeds	production,land_use,crop_yield
nuts	Nuts	Nut	Nuts	food_balances
oats	Oats	Oat	Oats	production,land_use,crop_yield
offals	Offals	Offal	Offals	food_balances,animal_feed
offals_buffaloes	Offals, buffaloes	Buffalo offal	Buffalo offal	production
offals_camels	Offals, camels	Camel offal	Camel offal	production
offals_cattle	Offals, cattle	Cattle offal	Cattle offal	production
offals_goats	Offals, goats	Goat offal	Goat offal	production
offals_horses	Offals, horses	Horse offal	Horse offal	production
offals_pigs	Offals, pigs	Pig offal	Pig offal	production
offals_sheep	Offals, sheep	Sheep offal	Sheep offal	production
oilcrops	Oilcrops	Oilcrop	Oilcrops	production,land_use,crop_yield,food_balances,animal_feed
oilcrops_cake_equivalent	Oilcrops, cake equivalent	Oilcrop, cake equivalent	Oilcrops, cake equivalent	production,land_use,crop_yield
oilcrops_oil_equivalent	Oilcrops, oil equivalent	Oilcrop, oil equivalent	Oilcrops, oil equivalent	production,land_use,crop_yield
okra	Okra	Okra	Okra	production,land_use,crop_yield
olive_oil	Olive Oil	Olive Oil	Olive Oil	production,food_balances,animal_feed
olives	Olives	Olive	Olives	production,land_use,crop_yield,food_balances,animal_feed
onions	Onions	Onion	Onions	production,land_use,crop_yield,food_balances,animal_feed
oranges	Oranges	Orange	Oranges	production,land_use,crop_yield,food_balances,animal_feed
palm_fruit_oil	Palm fruit oil	Palm fruit oil	Palm fruit oil	production,land_use,crop_yield
palm_kernel_oil	Palm kernel oil	Palm kernel oil	Palm kernel oil	production,food_balances,animal_feed
palm_kernels	Palm kernels	Palm kernel	Palm kernels	production,food_balances,animal_feed
palm_oil	Palm Oil	Palm Oil	Palm Oil	production
papayas	Papayas	Papaya	Papayas	production,land_use,crop_yield
peaches_and_nectarines	Peaches and nectarines	Peach and nectarine	Peaches and nectarines	production,land_use,crop_yield
pears	Pears	Pear	Pears	production,land_use,crop_yield
peas_dry	Peas, dry	Dry pea	Dry peas	production,land_use,crop_yield,food_balances,animal_feed
peas_green	Peas, green	Green pea	Green peas	production,land_use,crop_yield
pepper	Pepper	Pepper	Pepper	production,land_use,crop_yield,food_balances
pigeon_peas	Pigeon peas	Pigeon pea	Pigeon peas	production,land_use,crop_yield
pineapples	Pineapples	Pineapple	Pineapples	food_balances
pistachios	Pistachios	Pistachio	Pistachios	production,land_use,crop_yield
plantains	Plantains	Plantain	Plantains	production,land_use,crop_yield,food_balances,animal_feed
plums	Plums	Plum	Plums	production,land_use,crop_yield
poppy_seeds	Poppy seed	Poppy seed	Poppy seeds	production,land_use,crop_yield
pork	Pork	Pork	Pork	food_balances
potatoes	Potatoes	Potato	Potatoes	food_balances,animal_feed
pulses	Pulses	Pulse	Pulses	production,land_use,crop_yield,food_balances,animal_feed
quinoa	Quinoa	Quinoa	Quinoa	production,land_use,crop_yield
rapeseed	Rapeseed	Rapeseed	Rapeseeds	production,land_use,crop_yield
rapeseed_oil	Rapeseed oil	Rapeseed oil	Rapeseed oil	production
raspberries	Raspberries	Raspberry	Raspberries	production,land_use,crop_yield
rice	Rice	Rice	Rice	production,land_use,crop_yield,food_balances,animal_feed
roots_and_tubers	Roots and tubers	Root and tuber	Roots and tubers	production,land_use,crop_yield
rye	Rye	Rye	Rye	production,land_use,crop_yield,food_balances,animal_feed
safflower_oil	Safflower oil	Safflower oil	Safflower oil	production
safflower_seed	Safflower seed	Safflower seed	Safflower seeds	production,land_use,crop_yield
seed_cotton	Seed cotton	Seed cotton	Seed cotton	production,land_use,crop_yield
sesame_oil	Sesame oil	Sesame oil	Sesame oil	production,food_balances,animal_feed
sesame_seed	Sesame seed	Sesame seed	Sesame seeds	production,land_use,crop_yield,food_balances,animal_feed
sheep_and_goat_meat	Sheep and goat meat	Sheep and goat meat	Sheep and goat meat	production,animal_yield
silk	Silk	Silk	Silk	production
skins_goat	Skins, goat	Goat skin	Goat skins	production,animal_yield
skins_sheep	Skins, sheep	Sheep skin	Sheep skins	production,animal_yield
sorghum	Sorghum	Sorghum	Sorghum	production,land_use,crop_yield,food_balances,animal_feed
soybean_oil	Soybean oil	Soybean oil	Soybean oil	production,food_balances,animal_feed
soybeans	Soybeans	Soybean	Soybeans	production,land_use,crop_yield,food_balances,animal_feed
spinach	Spinach	Spinach	Spinach	production,land_use,crop_yield
strawberries	Strawberries	Strawberry	Strawberries	production,land_use,crop_yield
string_beans	String beans	String bean	String beans	production,land_use,crop_yield
sugar_raw	Sugar (raw)	Sugar (raw)	Sugar (raw)	production
sugar_beet	Sugar beet	Sugar beet	Sugar beet	production,land_use,crop_yield,food_balances,animal_feed
sugar_cane	Sugar cane	Sugar cane	Sugar cane	production,land_use,crop_yield,food_balances,animal_feed
sugar_crops	Sugar crops	Sugar crop	Sugar crops	production,land_use,crop_yield,food_balances,animal_feed
sunflower_oil	Sunflower oil	Sunflower oil	Sunflower oil	production,food_balances,animal_feed
sunflower_seed	Sunflower seed	Sunflower seed	Sunflower seeds	production,land_use,crop_yield,food_balances,animal_feed
sweet_potatoes	Sweet potatoes	Sweet potato	Sweet potatoes	production,land_use,crop_yield,food_balances,animal_feed
tangerines	Tangerines	Tangerine	Tangerines	production,land_use,crop_yield
tea	Tea	Tea	Tea	production,land_use,crop_yield
tobacco	Tobacco	Tobacco	Tobacco	production,land_use,crop_yield
tomatoes	Tomatoes	Tomato	Tomatoes	production,land_use,crop_yield,food_balances,animal_feed
treenuts	Treenuts	Treenut	Treenuts	production,land_use,crop_yield
vegetables	Vegetables	Vegetable	Vegetables	production,land_use,crop_yield,food_balances,animal_feed
walnuts	Walnuts	Walnut	Walnuts	production,land_use,crop_yield
watermelons	Watermelons	Watermelon	Watermelons	production,land_use,crop_yield
wheat	Wheat	Wheat	Wheat	production,land_use,crop_yield,food_balances,animal_feed
whey	Whey	Whey	Whey	production
wine	Wine	Wine	Wine	food_balances
wool	Wool	Wool	Wool	production
yams	Yams	Yam	Yams	production,land_use,crop_yield,food_balances,animal_feed
